feature,importance,rank
exp_parapente_False,0.003599871591894744,223
exp_nohired_False,0.003547652906548379,224
exp_rope_2500.0,0.0033864562633394066,225
exp_host_China,0.0014831978889187636,226
exp_rope_5200.0,0.0,227
exp_rope_6900.0,0.0,228
exp_rope_7100.0,0.0,229
exp_rope_5550.0,0.0,230
peak_region_Dhaulagiri-Mukut,0.0,231
peak_restrict_Closed,0.0,232
peak_region_Kanjiroba-Far West,0.0,233
peak_region_Khumbu-Rolwaling-Makalu,0.0,234
peak_region_Langtang-Jugal,0.0,235
peak_restrict_Delisted in 2014,0.0,236
peak_restrict_Opened in 2002 as trekking peak,0.0,237
"peak_restrict_Opened in 2002, delisted in 2013?",0.0,238
peak_restrict_Opened in 2013?,0.0,239
exp_rope_25.0,0.0,240
exp_rope_1.0,0.0,241
exp_host_Nepal,0.0,242
exp_host_Unknown,0.0,243
peak_restrict_Requires Jannu permit,0.0,244
peak_restrict_Requires permit for Amphu I,0.0,245
peak_phost_India only,0.0,246
peak_phost_Nepal & China,0.0,247
peak_himal_Jongsang,0.0,248
exp_rope_60.0,0.0,249
peak_himal_Langtang,0.0,250
peak_himal_Manaslu/Mansiri,0.0,251
exp_rope_190.0,0.0,252
exp_rope_270.0,0.0,253
exp_rope_210.0,0.0,254
exp_rope_150.0,0.0,255
exp_rope_320.0,0.0,256
exp_rope_315.0,0.0,257
exp_rope_480.0,0.0,258
exp_rope_370.0,0.0,259
exp_rope_750.0,0.0,260
exp_rope_160.0,0.0,261
exp_rope_90.0,0.0,262
exp_rope_1950.0,0.0,263
exp_rope_3050.0,0.0,264
exp_rope_2950.0,0.0,265
exp_rope_2600.0,0.0,266
exp_rope_2050.0,0.0,267
exp_rope_1500.0,0.0,268
exp_rope_1900.0,0.0,269
exp_rope_4240.0,0.0,270
occupation_missing_flag_False,0.0,271
