feature,importance,rank
exp_rope_3100.0,0.0,247
exp_rope_3625.0,0.0,248
exp_rope_3600.0,0.0,249
exp_rope_3800.0,0.0,250
exp_rope_3700.0,0.0,251
exp_rope_3375.0,0.0,252
exp_rope_3400.0,0.0,253
exp_rope_3300.0,0.0,254
exp_rope_3200.0,0.0,255
exp_rope_4400.0,0.0,256
exp_rope_4300.0,0.0,257
exp_rope_4240.0,0.0,258
exp_rope_3900.0,0.0,259
exp_rope_4800.0,0.0,260
exp_rope_4700.0,0.0,261
exp_rope_4575.0,0.0,262
exp_rope_4600.0,0.0,263
exp_rope_5500.0,0.0,264
exp_rope_5200.0,0.0,265
exp_rope_5600.0,0.0,266
exp_rope_5550.0,0.0,267
exp_rope_5700.0,0.0,268
exp_rope_6200.0,0.0,269
exp_rope_6600.0,0.0,270
exp_rope_6700.0,0.0,271
